timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624845449467,16,Mybatis Delete,200,,Delete 1-1,text,true,,176,190,1,1,http://localhost:8080/accounts/delete,16,0,1
1624845449485,17,Hibernate Delete,200,,Delete 1-1,text,true,,176,190,1,1,http://localhost:9090/accounts/delete,17,0,0
1624845449502,5,Mybatis Delete,200,,Delete 1-1,text,true,,176,190,1,1,http://localhost:8080/accounts/delete,5,0,0
1624845449507,16,Hibernate Delete,200,,Delete 1-1,text,true,,176,190,1,1,http://localhost:9090/accounts/delete,16,0,0
1624845449523,9,Mybatis Delete,200,,Delete 1-1,text,true,,176,190,1,1,http://localhost:8080/accounts/delete,8,0,0
1624845449532,11,Hibernate Delete,200,,Delete 1-1,text,true,,176,190,1,1,http://localhost:9090/accounts/delete,10,0,0
1624845449544,8,Mybatis Delete,200,,Delete 1-1,text,true,,176,190,1,1,http://localhost:8080/accounts/delete,8,0,0
1624845449552,16,Hibernate Delete,200,,Delete 1-1,text,true,,176,190,1,1,http://localhost:9090/accounts/delete,15,0,0
1624845449568,5,Mybatis Delete,200,,Delete 1-1,text,true,,176,190,1,1,http://localhost:8080/accounts/delete,4,0,0
1624845449573,16,Hibernate Delete,200,,Delete 1-1,text,true,,176,190,1,1,http://localhost:9090/accounts/delete,15,0,0
1624845449589,9,Mybatis Delete,200,,Delete 1-1,text,true,,176,190,1,1,http://localhost:8080/accounts/delete,8,0,0
1624845449599,14,Hibernate Delete,200,,Delete 1-1,text,true,,176,190,1,1,http://localhost:9090/accounts/delete,13,0,0
1624845449614,6,Mybatis Delete,200,,Delete 1-1,text,true,,176,190,1,1,http://localhost:8080/accounts/delete,6,0,0
1624845449620,17,Hibernate Delete,200,,Delete 1-1,text,true,,176,190,1,1,http://localhost:9090/accounts/delete,16,0,0
1624845449637,5,Mybatis Delete,200,,Delete 1-1,text,true,,176,190,1,1,http://localhost:8080/accounts/delete,4,0,0
1624845449642,10,Hibernate Delete,200,,Delete 1-1,text,true,,176,190,1,1,http://localhost:9090/accounts/delete,10,0,0
1624845449653,5,Mybatis Delete,200,,Delete 1-1,text,true,,176,190,1,1,http://localhost:8080/accounts/delete,4,0,0
1624845449658,10,Hibernate Delete,200,,Delete 1-1,text,true,,176,190,2,2,http://localhost:9090/accounts/delete,10,0,0
